,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2007-12-10,7.8542055726516065,8.026266940098617,9.381046510715146,7.8542055726516065,7.8542055726516065,0.8240563181796973,0.8240563181796973,0.8240563181796973,0.35178794441429856,0.35178794441429856,0.35178794441429856,0.47226837376539854,0.47226837376539854,0.47226837376539854,0.0,0.0,0.0,8.678261890831303
1,2007-12-11,7.854471036823429,7.740978862630932,9.137240106473287,7.854471036823429,7.854471036823429,0.5777305740317367,0.5777305740317367,0.5777305740317367,0.12198409747266926,0.12198409747266926,0.12198409747266926,0.45574647655906747,0.45574647655906747,0.45574647655906747,0.0,0.0,0.0,8.432201610855167
2,2007-12-12,7.854736500995252,7.571750209388749,8.874509878220044,7.854736500995252,7.854736500995252,0.37498960359204386,0.37498960359204386,0.37498960359204386,-0.06510161159852075,-0.06510161159852075,-0.06510161159852075,0.4400912151905646,0.4400912151905646,0.4400912151905646,0.0,0.0,0.0,8.229726104587296
3,2007-12-13,7.855001965167075,7.546973428116675,8.881361921818122,7.855001965167075,7.855001965167075,0.35374567160449205,0.35374567160449205,0.35374567160449205,-0.0719985651987491,-0.0719985651987491,-0.0719985651987491,0.42574423680324114,0.42574423680324114,0.42574423680324114,0.0,0.0,0.0,8.208747636771568
4,2007-12-14,7.855267429338898,7.508918442330549,8.895728681556134,7.855267429338898,7.855267429338898,0.34263932939148034,0.34263932939148034,0.34263932939148034,-0.07047151536474619,-0.07047151536474619,-0.07047151536474619,0.41311084475622645,0.41311084475622645,0.41311084475622645,0.0,0.0,0.0,8.197906758730378
5,2007-12-15,7.855532893510721,7.2610751905897395,8.608220315119347,7.855532893510721,7.855532893510721,0.08901850777353346,0.08901850777353346,0.08901850777353346,-0.3135325787225458,-0.3135325787225458,-0.3135325787225458,0.40255108649607924,0.40255108649607924,0.40255108649607924,0.0,0.0,0.0,7.944551401284254
6,2007-12-16,7.855798357682544,7.609397186259372,8.995473008415646,7.855798357682544,7.855798357682544,0.4417046145335709,0.4417046145335709,0.4417046145335709,0.04733222899897489,0.04733222899897489,0.04733222899897489,0.3943723855345959,0.3943723855345959,0.3943723855345959,0.0,0.0,0.0,8.297502972216115
7,2007-12-17,7.856063821854368,7.9300140737304305,9.26246290360834,7.856063821854368,7.856063821854368,0.7406118337840027,0.7406118337840027,0.7406118337840027,0.35178794441417827,0.35178794441417827,0.35178794441417827,0.3888238893698244,0.3888238893698244,0.3888238893698244,0.0,0.0,0.0,8.596675655638371
8,2007-12-18,7.856329286026192,7.65518459523788,9.077464828447766,7.856329286026192,7.856329286026192,0.5080767465247782,0.5080767465247782,0.5080767465247782,0.1219840974723294,0.1219840974723294,0.1219840974723294,0.3860926490524488,0.3860926490524488,0.3860926490524488,0.0,0.0,0.0,8.36440603255097
9,2007-12-19,7.856594750198014,7.450596060711453,8.848206903831693,7.856594750198014,7.856594750198014,0.3212000755924253,0.3212000755924253,0.3212000755924253,-0.06510161159872233,-0.06510161159872233,-0.06510161159872233,0.38630168719114755,0.38630168719114755,0.38630168719114755,0.0,0.0,0.0,8.17779482579044
10,2007-12-20,7.856860214369838,7.425216668515274,8.929406355594335,7.856860214369838,7.856860214369838,0.31751138615710633,0.31751138615710633,0.31751138615710633,-0.07199856519862936,-0.07199856519862936,-0.07199856519862936,0.38950995135573574,0.38950995135573574,0.38950995135573574,0.0,0.0,0.0,8.174371600526944
11,2007-12-21,7.85712567854166,7.497931296446749,8.867864159578252,7.85712567854166,7.85712567854166,0.3252425755791258,0.3252425755791258,0.3252425755791258,-0.0704715153648671,-0.0704715153648671,-0.0704715153648671,0.3957140909439928,0.3957140909439928,0.3957140909439928,0.0,0.0,0.0,8.182368254120785
12,2007-12-22,7.8573911427134835,7.236276596162841,8.611081910625348,7.8573911427134835,7.8573911427134835,0.09131936072912793,0.09131936072912793,0.09131936072912793,-0.31353257872255114,-0.31353257872255114,-0.31353257872255114,0.40485193945167897,0.40485193945167897,0.40485193945167897,0.0,0.0,0.0,7.948710503442611
